ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CENTRO
426;35;43;3531;30.10523757
428;93;49;3966;36.35421575
435;68;61;1999;35.07828406
438;23;58;2301;27.65916219
439;81;52;3624;31.91387484
442;36;84;4045;30.79059511
450;69;51;2989;22.98753882
465;40;45;65;5.282704236
471;43;70;4183;5.292785781
478;66;45;2400;22.08678362
479;55;43;4453;34.16564453
500;79;45;3564;40.80040713
506;59;72;2526;27.40093228
507;86;41;3966;38.92185229
510;44;48;4105;21.93866373
522;66;4;4268;35.12504384
527;63;14;2504;21.98475903
529;63;2;2504;53.17137557
535;55;56;4453;40.86940362
541;60;42;632;2.72625104
546;73;11;2504;41.4988193
548;64;27;548;0
551;36;42;644;28.36756301
552;86;63;3624;37.30509879
556;70;63;3481;35.18149017
559;27;70;3040;26.64047422
562;86;25;3131;62.9698605
564;36;43;644;25.72857213
567;66;56;4453;31.77282363
571;70;12;3131;23.62925385
576;66;72;2526;30.13869762
579;90;31;3966;62.47291728
581;80;67;3481;40.62911998
589;64;52;2400;15.33857348
590;70;46;2400;27.68888259
594;75;52;3564;29.56037061
601;25;23;3015;17.48773621
606;50;29;3847;29.34687945
608;36;61;4168;28.05963898
615;26;39;2301;25.96383043
617;84;26;2504;61.26773106
618;48;11;2693;25.3385443
623;70;30;4085;26.08126071
627;74;46;3564;28.30149923
628;31;49;2301;12.74259574
629;80;61;3624;27.63381987
631;40;58;2450;18.22266024
632;61;42;632;0
636;66;60;2526;33.62499462
637;126;43;3943;34.6780998
639;33;30;2458;32.36670125
640;44;35;4009;38.2077654
644;40;49;644;0
651;31;48;2301;15.14753868
653;60;72;2526;30.02988366
654;41;15;727;27.89081562
656;73;18;3131;38.21282822
658;73;27;548;24.32777766
659;61;35;4085;17.2716194
662;80;65;3481;39.06858106
666;64;1;2504;56.50320891
670;62;38;2365;12.93453927
672;25;57;2301;21.6676456
673;17;30;3729;23.22245164
677;62;45;2365;31.54756534
681;94;47;3966;29.90740821
682;51;72;2509;29.70708085
686;75;36;2989;28.8947534
687;74;64;3175;26.26895542
688;70;4;3131;31.42547879
693;70;9;3131;15.81226503
695;75;38;2989;24.08522982
710;41;23;3847;27.28043008
714;56;22;2693;27.618486
715;64;72;2526;38.50555607
719;103;64;3148;18.25832389
721;33;57;4244;28.18867158
722;39;94;3055;27.42369965
724;81;47;3564;28.0375286
725;66;14;2504;29.6837744
727;50;17;727;0
728;70;25;548;34.96161539
730;40;66;4168;24.86942213
739;40;69;4168;16.97307886
748;56;64;1999;26.46982186
749;64;62;3481;28.44871502
757;50;22;2693;22.97955367
761;126;33;3943;34.58059004
786;93;47;3966;36.04798219
789;28;35;3403;20.68765128
806;148;-13;3032;15.74062222
813;30;39;3531;26.88230879
815;68;4;3131;32.88893867
817;104;65;3148;26.72079296
818;56;43;4009;19.18863871
823;54;79;3700;20.05059672
836;131;8;3854;33.63463769
844;94;37;3966;21.70079904
845;90;26;548;59.86730994
848;109;84;2516;13.59123412
849;39;79;2509;33.63830781
860;81;13;2504;69.3728633
869;33;36;3403;30.42753811
877;84;28;2504;56.34902131
896;38;71;4168;24.16624705
908;106;90;2516;9.084246803
922;89;83;2783;37.87393575
927;89;84;2783;39.51351475
931;89;60;3664;20.09238292
932;123;39;3943;22.07729001
939;50;59;1999;16.98889905
945;70;-8;4268;12.68739915
947;68;79;3700;40.48487756
951;50;98;951;0
963;97;53;3966;48.6726347
1016;138;-4;3032;36.03306187
1046;81;30;2504;45.94375814
1050;89;27;548;57.62092409
1111;126;10;3854;25.37259905
1125;38;83;3761;22.78058184
1132;40;88;3761;33.62359836
1149;47;81;4183;30.5557447
1195;98;30;3943;49.93998817
1200;138;-22;3032;63.10783896
1201;67;35;2365;28.7477263
1208;57;59;1999;6.271645835
1239;132;30;3943;24.9019072
1246;126;2;3854;13.04815202
1247;79;60;3624;24.1509214
1314;109;90;2516;4.019633454
1325;109;91;2516;2.557722924
1367;41;17;727;22.82795932
1378;90;13;2504;83.23668392
1383;50;74;4183;27.97946041
1386;130;49;3720;33.730014
1428;27;77;3040;24.98795194
1429;126;-13;3854;25.38684783
1448;50;88;3761;32.76819089
1470;67;60;3624;41.76292067
1476;115;68;3148;34.70793947
1478;94;57;3966;52.73454251
1507;28;39;3403;27.01129417
1520;90;30;3943;62.08393374
1539;42;63;4168;23.0625449
1549;123;31;3943;10.04960422
1562;38;96;3055;22.26385133
1575;153;49;3720;72.22359953
1582;57;70;1999;21.97535865
1609;132;48;3720;30.20637372
1610;50;77;4183;32.67614356
1613;107;30;3943;36.58791638
1678;123;30;3943;11.62751891
1684;103;90;2516;14.05072646
1688;42;82;3761;13.04774156
1702;71;27;548;29.37840607
1718;84;39;3966;49.83196314
1776;94;28;3966;46.58475263
1822;73;57;1999;23.09962456
1859;84;47;3564;41.38578484
1866;115;91;2516;11.87993972
1875;107;90;2516;10.52334667
1883;28;75;3040;21.56723044
1946;42;43;65;19.25598037
1959;28;81;4045;21.11999287
1999;58;57;1999;0
2001;82;28;2504;53.34931671
2004;107;112;2516;42.83021028
2013;107;110;2516;45.90121407
2059;68;28;2504;30.56080966
2086;112;68;3148;39.11839687
2092;67;82;3700;31.88459706
2100;87;50;3624;35.02077032
2101;87;54;3624;31.86384626
2102;84;58;3624;28.25123968
2103;84;63;3624;32.36816306
2104;84;68;3624;36.19644614
2105;78;70;3624;40.88501055
2106;76;75;3624;44.96271048
2107;75;80;3761;43.97996029
2108;71;83;3761;40.17892764
2109;66;85;3761;36.20009901
2110;61;84;3761;32.22596673
2111;56;84;3761;28.40234067
2112;52;87;3761;24.51847965
2113;47;86;3761;20.78411909
2114;43;85;3761;17.78199787
2115;39;83;3761;21.28970078
2116;33;84;4045;23.60319789
2117;29;81;4045;19.51481101
2118;24;80;4045;15.81847358
2119;21;76;4045;11.91008524
2120;17;73;4045;8.018226429
2121;18;67;2122;3.680672332
2122;15;63;2122;0
2123;15;58;2122;3.916052938
2124;10;54;2122;8.751190425
2125;10;50;2122;11.8316757
2126;12;45;2122;16.14754453
2127;13;40;2122;20.20546648
2128;17;37;2122;24.39399212
2129;19;32;2153;26.27850476
2130;19;28;2153;23.16771838
2131;21;22;2153;18.33690997
2132;24;19;2153;21.29240487
2133;29;17;2153;25.49502069
2134;34;17;3780;24.16594205
2135;38;14;3780;20.18465059
2136;43;14;3780;23.92791717
2137;47;11;2693;23.07109898
2138;52;13;2693;27.2154825
2139;56;13;2693;30.22933188
2140;61;13;2504;28.04251191
2141;66;15;2504;23.94103842
2142;71;16;2504;27.71974494
2143;74;19;2504;31.28985978
2144;78;23;2504;35.54407096
2145;79;28;2504;39.44200113
2146;81;32;2504;43.00871382
2147;87;35;3624;47.98534375
2148;85;40;3624;43.66448832
2149;88;45;3624;39.08681793
2150;18;-31;2152;15.90565733
2151;20;-20;2152;8.119002553
2152;20;-10;2152;0
2153;20;1;2153;0
2154;20;11;2153;7.722754088
